speedLeft;speedRight;left;middle;right;time
62;126;80;6;100;1561725409449.908
188;173;79;5;100;1561725409464.908
180;168;80;6;100;1561725409496.908
175;193;85;8;100;1561725409542.908
199;205;83;8;100;1561725409590.908
192;191;81;7;100;1561725409629.908
169;168;81;7;100;1561725409674.908
178;175;82;9;100;1561725409720.908
185;188;83;11;100;1561725409764.908
176;178;84;17;100;1561725409822.908
159;178;84;23;100;1561725409856.908
62;183;84;28;100;1561725409902.908
49;173;85;27;100;1561725409946.908
19;168;85;17;100;1561725409993.908
7;176;85;10;100;1561725410046.908
61;177;85;7;100;1561725410083.908
180;179;86;7;100;1561725410130.908
190;184;85;7;100;1561725410171.908
177;188;86;12;100;1561725410216.908
176;191;86;24;100;1561725410260.908
82;187;85;38;100;1561725410310.908
42;175;84;43;100;1561725410352.908
16;167;84;42;100;1561725410397.908
7;174;85;29;100;1561725410449.908
16;178;86;21;100;1561725410489.908
186;181;86;20;100;1561725410530.908
195;185;85;29;100;1561725410580.908
180;184;80;61;100;1561725410638.908
146;193;68;75;100;1561725410671.908
56;185;50;76;100;1561725410715.908
33;171;45;76;100;1561725410755.908
14;169;55;76;100;1561725410805.908
7;177;68;73;100;1561725410846.908
6;178;77;66;100;1561725410890.908
35;180;79;60;100;1561725410936.908
60;183;82;58;100;1561725410988.908
162;183;82;58;100;1561725411024.908
194;185;80;64;100;1561725411072.908
174;183;66;77;100;1561725411127.908
179;186;39;76;100;1561725411169.908
92;187;19;77;100;1561725411208.908
43;179;10;77;100;1561725411250.908
27;171;12;77;100;1561725411296.908
8;174;30;77;100;1561725411351.908
7;176;48;77;100;1561725411389.908
34;179;60;77;100;1561725411431.908
52;178;64;78;100;1561725411488.908
37;181;71;78;100;1561725411523.908
32;182;78;75;100;1561725411567.908
26;179;84;66;100;1561725411613.908
25;178;87;54;100;1561725411668.908
39;177;87;41;100;1561725411713.908
141;182;87;37;100;1561725411745.908
79;179;88;33;100;1561725411789.908
35;180;88;31;100;1561725411838.908
145;179;89;30;100;1561725411886.908
190;176;89;31;100;1561725411928.908
187;180;88;41;100;1561725411973.908
174;192;86;61;100;1561725412019.908
179;191;83;75;100;1561725412063.908
187;185;76;80;100;1561725412106.908
172;180;66;81;100;1561725412150.908
67;178;54;82;100;1561725412200.908
40;176;51;82;100;1561725412244.908
15;171;64;82;100;1561725412313.908
13;170;72;79;100;1561725412345.908
13;173;78;78;100;1561725412388.908
25;178;80;71;100;1561725412429.908
42;181;81;61;100;1561725412475.908
36;182;81;51;100;1561725412521.908
28;185;81;35;100;1561725412566.908
24;178;81;19;100;1561725412615.908
43;181;81;15;100;1561725412651.908
178;181;80;11;100;1561725412699.908
189;177;80;10;100;1561725412734.908
180;183;80;13;100;1561725412789.908
157;190;81;18;100;1561725412825.908
68;188;81;19;100;1561725412870.908
44;176;82;15;100;1561725412915.908
16;169;82;9;100;1561725412961.908
7;173;82;6;100;1561725413008.908
6;177;81;6;100;1561725413052.908
42;178;81;7;100;1561725413096.908
45;181;81;14;100;1561725413141.908
101;185;81;30;100;1561725413196.908
187;182;81;41;100;1561725413244.908
183;181;81;45;100;1561725413278.908
177;185;82;47;100;1561725413330.908
183;191;82;44;100;1561725413365.908
180;182;83;43;100;1561725413413.908
176;180;83;39;100;1561725413466.908
181;180;85;40;100;1561725413501.908
178;180;88;42;100;1561725413548.908
182;181;86;43;100;1561725413591.908
179;182;84;35;100;1561725413638.908
179;181;84;29;100;1561725413682.908
181;179;84;27;100;1561725413725.908
180;180;84;24;100;1561725413771.908
178;180;85;23;100;1561725413814.908
180;180;85;20;100;1561725413861.908
182;178;86;18;100;1561725413910.908
178;179;86;17;100;1561725413959.908
180;179;86;15;100;1561725414008.908
157;181;87;15;100;1561725414066.908
72;181;87;17;100;1561725414103.908
91;178;85;24;100;1561725414131.908
184;168;85;32;100;1561725414175.908
180;171;85;34;100;1561725414221.908
175;194;86;33;100;1561725414268.908
189;194;86;33;100;1561725414309.908
181;178;85;32;100;1561725414358.908
173;176;85;32;100;1561725414404.908
183;179;85;28;100;1561725414446.908
183;178;85;24;100;1561725414493.908
179;180;85;20;100;1561725414536.908
179;180;84;20;100;1561725414582.908
180;180;83;19;100;1561725414626.908
179;187;82;17;100;1561725414672.908
182;180;81;15;100;1561725414715.908
176;177;80;13;100;1561725414762.908
176;181;80;12;100;1561725414809.908
